Unnamed: 0,answer value
0,2
1,3
2,3
3,3
4,6
5,3
6,4
7,4
8,3
9,6
10,6
11,2
12,6
13,2
14,3
15,1
16,2
17,0
18,6
19,1
20,3
21,5
22,2
23,3
24,0
25,5
26,1
27,2
28,0
29,5
30,1
31,5
32,6
33,0
34,0
35,5
36,5
37,4
38,5
39,2
40,2
41,0
42,4
43,6
44,3
45,3
46,0
47,5
48,5
49,3
50,6
51,5
52,4
53,1
54,5
55,0
56,4
57,5
58,1
59,1
60,5
61,0
62,6
63,1
64,1
65,2
66,4
67,1
68,1
69,3
70,3
71,3
72,0
73,1
74,1
75,6
76,2
77,0
78,6
79,6
80,1
81,6
82,1
83,6
84,6
85,4
86,6
87,6
88,1
89,2
90,2
91,5
92,1
93,0
94,5
95,6
96,3
97,3
98,1
99,6
100,6
101,5
102,6
103,0
104,6
105,2
106,5
107,1
108,0
109,0
110,6
111,6
112,2
113,5
114,4
115,2
116,0
117,0
118,5
119,6
120,4
121,2
122,2
123,6
124,1
125,1
126,5
127,6
128,0
129,4
130,1
131,1
132,6
133,4
134,4
135,2
136,5
137,6
138,5
139,0
140,4
141,3
142,1
143,5
144,0
145,6
146,4
147,2
148,2
149,5
150,6
151,1
152,6
153,2
154,2
155,2
156,0
157,1
158,4
159,5
160,2
161,6
162,6
163,1
164,5
165,4
166,2
167,5
168,6
169,2
170,6
171,5
172,3
173,0
174,0
175,3
176,2
177,2
178,3
179,4
180,2
181,0
182,3
183,6
184,0
185,3
186,3
187,2
188,0
189,4
190,4
191,2
192,3
193,4
194,4
195,4
196,6
197,6
198,3
199,2
200,5
201,5
202,1
203,6
204,5
205,1
206,6
207,6
208,0
209,2
210,3
211,1
212,6
213,5
214,0
215,5
216,2
217,2
218,0
219,0
220,6
221,1
222,2
223,4
224,5
225,6
226,3
227,1
228,5
229,4
230,3
231,5
232,4
233,2
234,4
235,6
236,0
237,6
238,4
239,6
240,6
241,2
242,6
243,1
244,6
245,0
246,5
247,4
248,6
249,6
250,4
251,2
252,5
253,3
254,1
255,4
256,4
257,3
258,6
259,0
260,6
261,3
262,2
263,0
264,1
265,4
266,1
267,4
268,0
269,1
270,1
271,5
272,6
273,4
274,6
275,0
276,4
277,4
278,3
279,6
280,6
281,2
282,0
283,3
284,2
285,3
286,0
287,0
288,5
289,2
290,5
291,5
292,2
293,5
294,2
295,6
296,5
297,1
298,2
299,6
300,5
301,3
302,0
303,6
304,3
305,1
306,5
307,5
308,0
309,2
310,0
311,4
312,3
313,4
314,4
315,2
316,5
317,1
318,2
319,4
320,6
321,6
322,4
323,2
324,3
325,4
326,0
327,5
328,2
329,4
330,6
331,6
332,6
333,3
334,6
335,0
336,4
337,6
338,6
339,0
340,2
341,0
342,5
343,5
344,1
345,1
346,6
347,3
348,6
349,2
